latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.646748,77.2748,231.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h)
2021-01-01T00:00,8.2,92,7.0,6.6,0.00,989.6,51,5.2
2021-01-01T01:00,8.4,93,7.3,7.3,0.00,989.5,1,2.5
2021-01-01T02:00,7.7,94,6.8,6.3,0.00,989.4,0,3.9
2021-01-01T03:00,7.1,95,6.3,5.6,0.00,989.1,1,4.2
2021-01-01T04:00,4.3,100,4.3,2.0,0.00,988.8,100,6.6
2021-01-01T05:00,3.7,100,3.7,1.4,0.00,989.7,100,4.9
2021-01-01T06:00,3.4,100,3.4,1.2,0.00,990.0,100,4.5
2021-01-01T07:00,3.4,99,3.3,1.3,0.00,990.8,100,3.1
2021-01-01T08:00,4.5,97,4.0,2.9,0.00,991.8,100,1.1
2021-01-01T09:00,6.4,96,5.8,5.1,0.00,992.7,100,1.1
2021-01-01T10:00,9.7,86,7.5,8.6,0.00,993.0,49,3.4
2021-01-01T11:00,13.6,66,7.3,12.2,0.00,992.6,0,4.9
2021-01-01T12:00,15.7,55,6.6,14.1,0.00,991.6,0,7.0
2021-01-01T13:00,17.1,48,6.0,15.2,0.00,990.4,0,7.2
2021-01-01T14:00,17.9,44,5.6,15.8,0.00,989.7,0,6.8
2021-01-01T15:00,18.1,45,5.8,16.1,0.00,989.4,0,6.1
2021-01-01T16:00,17.5,48,6.4,15.8,0.00,989.1,31,5.5
2021-01-01T17:00,13.1,66,7.0,11.1,0.00,988.6,8,8.4
2021-01-01T18:00,11.7,73,7.0,9.6,0.00,988.8,14,8.7
2021-01-01T19:00,11.7,74,7.3,10.0,0.00,989.2,27,6.9
2021-01-01T20:00,10.8,78,7.2,9.1,0.00,989.4,11,6.5
2021-01-01T21:00,10.2,81,7.1,8.5,0.00,989.5,19,6.6
2021-01-01T22:00,10.2,80,6.9,8.2,0.00,989.7,26,8.0
2021-01-01T23:00,9.9,82,6.9,8.0,0.00,989.7,25,7.4
2021-01-02T00:00,9.8,81,6.8,8.1,0.00,989.4,67,6.1
2021-01-02T01:00,10.0,80,6.7,8.3,0.00,989.2,84,5.8
2021-01-02T02:00,10.4,76,6.4,8.5,0.00,988.9,30,6.9
2021-01-02T03:00,9.7,80,6.3,7.7,0.00,988.5,82,6.7
2021-01-02T04:00,10.0,80,6.7,8.6,0.10,989.0,97,3.9
2021-01-02T05:00,9.5,83,6.8,7.9,0.00,988.8,98,4.7
2021-01-02T06:00,9.9,81,6.8,8.0,0.00,989.3,83,6.7
2021-01-02T07:00,9.7,82,6.9,8.1,0.00,989.9,82,5.6
2021-01-02T08:00,10.9,78,7.3,9.0,0.90,990.7,45,8.4
2021-01-02T09:00,12.7,69,7.2,10.8,0.00,991.5,43,8.3
2021-01-02T10:00,14.7,60,6.9,12.6,0.10,991.9,37,9.0
2021-01-02T11:00,16.3,55,7.4,14.1,0.10,991.4,44,10.6
2021-01-02T12:00,16.9,58,8.7,14.7,0.30,990.3,57,12.2
2021-01-02T13:00,17.0,66,10.5,15.5,0.40,989.4,42,11.3
2021-01-02T14:00,17.5,64,10.6,15.9,0.20,988.2,94,12.4
2021-01-02T15:00,18.0,61,10.4,16.4,0.10,987.7,40,11.6
2021-01-02T16:00,18.1,62,10.7,16.7,0.00,987.4,35,11.0
2021-01-02T17:00,17.1,61,9.5,15.6,0.00,987.3,9,9.5
2021-01-02T18:00,15.9,65,9.4,14.3,0.00,987.3,33,10.2
2021-01-02T19:00,15.3,68,9.4,13.5,0.00,987.5,18,10.8
2021-01-02T20:00,14.6,72,9.7,12.8,0.00,987.8,18,11.1
2021-01-02T21:00,14.2,77,10.2,12.7,0.00,988.1,19,10.5
2021-01-02T22:00,13.7,84,11.0,12.7,0.00,988.2,10,8.9
2021-01-02T23:00,13.2,90,11.5,12.3,0.00,987.8,14,8.7
2021-01-03T00:00,13.1,92,11.8,12.4,0.00,987.5,14,8.8
2021-01-03T01:00,12.8,92,11.6,11.9,0.20,987.2,36,9.6
2021-01-03T02:00,12.8,92,11.5,11.7,2.40,986.9,47,10.1
2021-01-03T03:00,12.5,93,11.4,11.4,1.90,986.5,46,10.4
2021-01-03T04:00,12.3,92,11.1,11.2,1.30,986.4,42,10.1
2021-01-03T05:00,12.2,92,11.0,10.9,0.60,986.5,38,10.5
2021-01-03T06:00,12.1,93,10.9,10.4,0.60,986.8,36,13.2
2021-01-03T07:00,12.4,92,11.1,10.6,0.50,987.4,35,14.3
2021-01-03T08:00,13.6,89,11.8,11.9,1.40,988.2,45,15.4
2021-01-03T09:00,15.2,84,12.6,14.0,0.70,988.9,44,14.0
2021-01-03T10:00,17.1,76,12.9,15.9,0.70,989.2,40,14.5
2021-01-03T11:00,19.1,68,13.2,17.7,0.30,988.7,22,16.7
2021-01-03T12:00,20.2,69,14.3,18.8,0.40,987.7,52,19.1
2021-01-03T13:00,21.2,61,13.5,19.0,0.00,986.7,5,22.7
2021-01-03T14:00,21.2,63,13.8,19.0,0.00,986.1,7,23.4
2021-01-03T15:00,21.0,64,13.9,19.3,0.00,985.9,9,20.1
2021-01-03T16:00,20.3,68,14.2,19.3,0.00,985.9,33,15.8
2021-01-03T17:00,17.1,84,14.3,16.3,0.10,986.7,66,15.3
2021-01-03T18:00,17.2,85,14.6,16.5,0.00,987.3,92,15.5
2021-01-03T19:00,16.7,88,14.7,16.3,0.00,987.4,67,13.4
2021-01-03T20:00,15.9,92,14.7,15.4,0.00,987.7,62,13.7
2021-01-03T21:00,15.4,94,14.4,14.9,0.00,987.9,86,13.5
2021-01-03T22:00,15.7,92,14.4,15.1,0.00,987.9,7,13.5
2021-01-03T23:00,15.1,94,14.1,14.4,0.00,987.8,4,13.6
2021-01-04T00:00,14.7,94,13.8,14.3,0.00,987.4,16,10.7
2021-01-04T01:00,14.4,94,13.5,14.3,0.10,987.3,30,8.4
2021-01-04T02:00,14.2,96,13.5,14.2,1.60,987.5,37,7.4
2021-01-04T03:00,14.2,96,13.5,14.2,0.10,987.3,82,7.6
2021-01-04T04:00,14.3,96,13.6,14.4,0.00,987.5,37,7.3
2021-01-04T05:00,12.9,99,12.8,13.1,0.00,988.0,35,4.8
2021-01-04T06:00,12.8,100,12.7,12.9,0.00,988.4,59,4.7
2021-01-04T07:00,12.8,99,12.6,12.6,0.00,989.0,34,6.9
2021-01-04T08:00,14.0,96,13.3,13.6,0.00,990.2,67,9.8
2021-01-04T09:00,15.3,92,14.0,15.0,1.40,991.1,92,10.8
2021-01-04T10:00,16.5,89,14.7,16.3,0.40,991.2,58,12.2
2021-01-04T11:00,18.5,85,15.8,18.6,0.60,990.4,41,12.3
2021-01-04T12:00,20.9,71,15.4,20.6,0.00,989.3,63,14.4
2021-01-04T13:00,22.3,63,15.0,22.1,0.00,988.4,99,12.9
2021-01-04T14:00,22.6,61,14.7,22.3,0.00,988.0,98,12.3
2021-01-04T15:00,21.7,65,14.8,21.6,0.00,988.0,99,11.5
2021-01-04T16:00,19.9,78,16.0,21.0,0.40,987.9,100,6.7
2021-01-04T17:00,18.5,87,16.4,18.8,0.40,987.3,97,13.0
2021-01-04T18:00,17.9,89,16.1,19.1,0.00,988.5,90,6.1
2021-01-04T19:00,16.5,94,15.5,17.3,0.00,988.6,85,7.1
2021-01-04T20:00,16.5,93,15.3,17.3,0.00,988.7,91,6.3
2021-01-04T21:00,16.7,90,15.1,16.8,0.00,988.7,97,11.0
2021-01-04T22:00,16.3,92,15.0,16.7,0.00,989.0,97,8.4
2021-01-04T23:00,15.8,94,14.8,16.2,0.00,988.7,96,8.0
2021-01-05T00:00,15.6,93,14.5,15.6,0.00,988.5,94,10.5
2021-01-05T01:00,15.6,92,14.2,15.3,0.00,988.4,78,11.4
2021-01-05T02:00,15.5,90,13.9,15.0,0.00,988.2,67,11.8
2021-01-05T03:00,15.4,89,13.6,15.0,0.00,987.7,59,10.8
2021-01-05T04:00,14.8,92,13.4,14.6,0.00,987.5,59,8.8
2021-01-05T05:00,15.3,89,13.5,14.8,0.10,987.1,68,11.1
2021-01-05T06:00,14.6,92,13.3,14.6,0.00,987.2,73,7.2
2021-01-05T07:00,14.1,92,12.9,13.9,0.00,988.3,57,7.2
2021-01-05T08:00,15.7,89,13.8,15.9,0.10,990.1,70,6.5
2021-01-05T09:00,16.9,85,14.4,17.4,0.50,990.7,58,5.9
2021-01-05T10:00,18.5,78,14.5,18.7,0.00,991.0,98,8.7
2021-01-05T11:00,19.5,74,14.7,19.6,0.10,990.4,89,9.7
2021-01-05T12:00,20.3,72,15.0,20.8,0.20,989.5,56,7.7
2021-01-05T13:00,21.1,69,15.1,21.6,0.10,988.3,77,8.4
2021-01-05T14:00,21.7,64,14.7,21.5,0.00,987.2,19,11.5
2021-01-05T15:00,22.2,63,14.8,21.9,0.00,986.9,63,12.6
2021-01-05T16:00,21.3,69,15.4,21.3,0.00,986.9,75,12.3
2021-01-05T17:00,19.0,81,15.6,19.8,0.00,986.9,62,6.9
2021-01-05T18:00,18.3,84,15.5,18.5,0.10,987.4,48,11.2
2021-01-05T19:00,18.0,86,15.6,18.0,0.10,987.2,48,12.4
2021-01-05T20:00,17.5,88,15.5,17.7,0.20,987.6,52,11.7
2021-01-05T21:00,17.1,91,15.5,17.6,0.40,988.0,64,9.1
2021-01-05T22:00,17.1,91,15.5,17.2,0.30,988.3,63,11.6
2021-01-05T23:00,17.1,92,15.7,17.2,0.10,988.0,59,12.5
2021-01-06T00:00,16.6,94,15.7,16.9,0.20,988.0,78,11.1
2021-01-06T01:00,16.8,94,15.8,17.4,0.10,987.6,51,8.9
2021-01-06T02:00,16.0,96,15.4,17.1,0.10,987.5,49,5.0
2021-01-06T03:00,15.9,96,15.3,16.6,0.50,987.5,71,7.7
2021-01-06T04:00,15.9,97,15.4,16.5,0.40,987.1,43,8.6
2021-01-06T05:00,15.8,95,15.0,16.0,0.50,986.8,96,9.7
2021-01-06T06:00,15.7,93,14.7,16.6,0.30,987.5,64,4.3
2021-01-06T07:00,15.4,95,14.6,15.6,0.70,988.2,36,8.9
2021-01-06T08:00,16.3,93,15.1,16.9,0.00,989.0,28,7.2
2021-01-06T09:00,17.6,88,15.6,18.0,0.20,990.0,41,9.7
2021-01-06T10:00,18.9,81,15.6,18.8,0.00,990.2,49,13.4
2021-01-06T11:00,20.3,74,15.6,20.5,0.00,989.6,43,11.1
2021-01-06T12:00,21.2,68,15.1,21.5,0.00,988.5,42,9.2
2021-01-06T13:00,21.8,64,14.7,22.0,0.00,987.5,37,9.2
2021-01-06T14:00,22.1,62,14.5,22.6,0.10,986.9,43,6.5
2021-01-06T15:00,21.7,64,14.5,22.4,0.00,986.6,40,5.4
2021-01-06T16:00,20.8,71,15.4,21.6,0.00,986.5,37,6.5
2021-01-06T17:00,18.2,81,15.0,19.2,0.00,986.9,28,4.7
2021-01-06T18:00,16.9,89,15.1,17.8,0.00,987.3,21,5.4
2021-01-06T19:00,16.4,92,15.0,17.1,0.00,987.7,19,6.4
2021-01-06T20:00,15.9,93,14.8,16.3,0.00,988.3,16,7.7
2021-01-06T21:00,15.4,95,14.6,15.7,0.00,988.3,17,8.6
2021-01-06T22:00,15.0,95,14.3,15.1,0.00,988.1,16,8.7
2021-01-06T23:00,14.7,96,14.1,14.6,0.00,987.9,12,9.4
2021-01-07T00:00,14.3,97,13.8,14.0,0.00,988.0,6,9.8
2021-01-07T01:00,13.9,98,13.6,13.6,0.00,987.6,5,9.7
2021-01-07T02:00,13.6,99,13.4,13.3,0.00,987.4,8,9.2
2021-01-07T03:00,13.4,99,13.2,13.0,0.00,987.1,20,8.9
2021-01-07T04:00,13.3,99,13.1,12.9,0.00,987.1,100,9.2
2021-01-07T05:00,12.9,99,12.7,12.4,0.00,987.5,100,9.4
2021-01-07T06:00,12.9,99,12.7,12.4,0.00,987.8,14,9.0
2021-01-07T07:00,12.6,99,12.5,12.1,0.00,988.3,100,9.0
2021-01-07T08:00,13.7,96,13.1,12.9,0.00,989.3,100,12.2
2021-01-07T09:00,14.9,91,13.5,14.2,0.00,989.9,99,12.2
2021-01-07T10:00,16.2,85,13.6,15.7,0.00,990.2,95,10.9
2021-01-07T11:00,17.4,78,13.5,16.9,0.00,989.4,70,10.9
2021-01-07T12:00,18.8,69,13.1,18.3,0.00,988.5,64,9.5
2021-01-07T13:00,19.3,64,12.3,19.0,0.00,987.3,64,6.8
2021-01-07T14:00,19.8,61,12.1,19.5,0.00,986.5,1,6.4
2021-01-07T15:00,19.7,61,12.1,19.2,0.00,986.2,0,7.5
2021-01-07T16:00,19.1,64,12.0,18.5,0.00,986.2,0,8.0
2021-01-07T17:00,16.5,77,12.5,16.1,0.00,986.5,0,8.3
2021-01-07T18:00,14.8,86,12.4,14.2,0.00,986.7,7,9.0
2021-01-07T19:00,13.7,88,11.8,13.1,0.00,986.7,4,8.2
