model,horizon,mae,rmse,wape,mape,r2,mean_bias
Previous Hour,1,223.2828155777968,317.20469058528823,4.6047789193175666,4.986771158667415,0.9409710082470634,0.27030334072885415
Previous Hour,2,412.9545130075257,539.3892841851216,8.519614101849166,9.298958394635518,0.8287392787734155,2.1035201175077987
Previous Hour,3,564.566765881221,720.172417085333,11.646846746390015,12.898640527102625,0.6945859729572781,1.8283381614805065
Previous Hour,4,682.6183330923773,863.2458188765928,14.082406122641512,15.867688867381805,0.5612105269420147,1.8938006330498762
Previous Hour,5,767.0448261311808,975.062352754009,15.823992502287892,18.098491645599243,0.4402683093499924,1.8536951238257222
Previous Hour,6,827.6251323893654,1061.4621837315424,17.073840951105456,19.802513939916576,0.3364066785904002,1.8786692203635067
Previous Hour,7,866.938986314187,1119.5842940784348,17.883600459579938,20.946741571579658,0.2606903011647205,1.531134471816618
Previous Hour,8,904.0913376937906,1154.8447689753732,18.64466619552627,21.96054475170891,0.2108252323761436,0.14547677659296723
Previous Hour,9,937.7839062079149,1173.670672159203,19.330017580782812,22.863577392400284,0.1814935574711064,-2.231438184235938
Previous Hour,10,963.4712599883269,1179.1789270405886,19.846556024558016,23.556607121279523,0.17061432384520037,-5.3947531956081916
Previous Hour,11,980.4017285901909,1178.6629114218342,20.180148786800377,24.0299765253302,0.16874668546736715,-9.04124991029104
Previous Hour,12,988.329647123515,1181.7091256753158,20.32711472859992,24.295003028240373,0.16274142839096584,-12.917590572408807
Previous Hour,13,987.1105098906863,1192.937953755237,20.28475897711492,24.38735841606773,0.14578424851617444,-17.059873867834618
Previous Hour,14,976.6326781272599,1207.3795204848484,20.05551751042007,24.280945855449673,0.12448763551969966,-20.438843415471727
Previous Hour,15,965.4968163671263,1214.7604909604258,19.818384658567346,24.08730245546675,0.1131471413312648,-22.516047736927373
Previous Hour,16,949.6266710550211,1209.2910048358988,19.487217991136717,23.68579802423013,0.12057392427704294,-23.867588045241742
Previous Hour,17,933.7135879112253,1188.6354711067174,19.1525004521225,23.127542047075934,0.15169352610799425,-25.94539635962133
Previous Hour,18,905.2663985728071,1148.253581256312,18.55887317051985,22.146646834470772,0.2103730516519492,-28.602052285828048
Previous Hour,19,863.231119826282,1089.2930979310522,17.686224488241137,20.763391911155736,0.2910887953685829,-31.6035850126413
Previous Hour,20,800.4348575254878,1018.1374974879145,16.3879774180503,18.91122788330692,0.38212068464988036,-35.073923787041856
Previous Hour,21,720.970274002617,939.5869896034573,14.753493513704335,16.69353271117587,0.4747005179518432,-37.5696193897712
Previous Hour,22,638.3301519481067,865.7644026466334,13.058417928188563,14.462512723673546,0.5547854579832092,-39.058587042033025
