model,segment,threshold_mw,sample_count,mae,rmse,wape,mape,r2,mean_bias
Previous Hour,Top 10%,6453.743333333333,3171,946.171118580953,1174.5769478027535,13.691779699965831,13.599108699794582,-9.384268651471608,-838.8240732458613
Previous Hour,Top 5%,6794.9775,1586,1099.2637752015742,1331.1884378386449,15.28580459937993,15.245328066673236,-16.94142585114236,-1029.9246167634733
Previous Hour,Top 1%,7420.330833333333,318,1162.890062893082,1387.5403701906585,15.085111432606826,15.077630800774594,-59.513366667544915,-1136.2699371069182
Previous Day,Top 10%,6453.743333333333,3171,656.634080167529,924.4895882812466,9.511178480530027,9.445350136049885,-5.514845051001021,-537.5468694029728
Previous Day,Top 5%,6794.9775,1586,751.265702704055,1040.3218720769498,10.45081013359503,10.398267378331152,-10.101119067315096,-708.2356525792936
Previous Day,Top 1%,7420.330833333333,318,794.0351069367142,1155.8010529454732,10.304037942481003,10.3863967077862,-37.93688689571352,-794.0351069367142
Previous Week,Top 10%,6453.743333333333,3171,1472.257385329439,2108.315310363149,21.305864244537304,21.094109656704518,-31.98944905221356,-1313.6321769795295
Previous Week,Top 5%,6794.9775,1586,1748.6460513292875,2383.741817270311,24.28892570741576,24.118388923054738,-56.13131764828888,-1650.7106611071704
Previous Week,Top 1%,7420.330833333333,318,2046.6750850485992,2601.376098892568,26.54964790694648,26.648075487898165,-211.69944251892818,-2046.6750850485992
LightGBM,Top 10%,6453.743333333333,3171,918.5230260416728,1000.4088519197354,13.291691825015855,13.124186502686616,-6.533000922798036,-918.5230260416728
LightGBM,Top 5%,6794.9775,1586,1123.885517457711,1178.3727516998983,15.628182061017458,15.498930400484728,-13.058638501779935,-1123.885517457711
LightGBM,Top 1%,7420.330833333333,318,1550.4971752175802,1559.2159428233895,20.11318473726589,20.112848835377495,-75.41394012623923,-1550.4971752175802
TimesFM Zero-Shot,Top 10%,6453.743333333333,3171,7352.5876522212775,7649.25561658111,106.39725561469835,106.40534345656462,-439.40406312029074,-7352.5876522212775
TimesFM Zero-Shot,Top 5%,6794.9775,1586,7646.4252902587505,7922.618752065717,106.32731243164943,106.3374559599909,-634.4997674324838,-7646.4252902587505
TimesFM Zero-Shot,Top 1%,7420.330833333333,318,8208.660827171074,8470.874348366948,106.48346498230863,106.47882212273183,-2254.363458682723,-8208.660827171074
TimesFM LoRA (Primary),Top 10%,6453.743333333333,3171,1173.8638317809696,1366.6184147798583,16.986657769270792,16.847873157315536,-13.057481018949373,-1171.7006835808093
TimesFM LoRA (Primary),Top 5%,6794.9775,1586,1396.7679920071319,1582.054796995498,19.422747367959214,19.361248046662336,-24.340835207211164,-1396.2700277807633
TimesFM LoRA (Primary),Top 1%,7420.330833333333,318,1471.5270817736623,1622.252362821019,19.08877778990478,19.105182969855882,-81.71740303681314,-1471.5270817736623
